gpu_temperature,gpu_power_load,ambient_temperature,humidity,water_temperature,tds,ph,conductivity,tower_age,cooling_cycles,flow_rate,daily_water_usage,scaling_risk
84.24,68.68,40.02,70.74,42.0,406.94,7.11,559.88,9.44,13.27,74.8,6610.8,1
75.26,66.41,18.54,82.63,32.12,921.57,8.92,1296.14,2.18,17.95,141.87,2963.65,1
84.69,40.0,16.35,28.23,30.48,1054.63,9.15,1462.78,12.72,4.64,180.92,6298.8,1
72.22,84.27,28.14,89.32,37.32,580.49,8.25,803.57,14.9,3.45,45.59,2208.21,1
73.52,49.0,40.32,34.66,38.15,847.41,8.98,1084.52,5.81,5.76,172.61,6151.03,1
69.24,64.77,22.87,20.82,28.64,1029.1,8.24,1357.62,7.08,16.92,105.7,5350.55,1
51.14,49.9,27.65,89.82,30.77,705.61,6.59,888.07,10.82,13.83,145.28,2354.29,1
54.86,39.37,16.2,39.68,28.54,1224.82,9.19,1707.27,14.09,12.81,99.58,6368.28,1
51.41,74.07,28.47,66.76,27.75,1125.86,6.77,1621.82,13.46,6.99,151.28,4849.18,1
78.64,33.8,32.33,32.37,34.97,277.6,8.34,361.66,1.34,8.64,80.69,3128.36,1
64.15,82.41,32.13,60.62,31.94,945.35,7.18,1198.27,2.95,21.32,43.51,4150.38,1
72.89,52.23,24.97,83.28,33.39,482.39,7.56,648.87,11.44,6.81,191.65,5190.77,1
90.84,30.01,24.47,42.41,38.83,869.02,8.24,1235.18,10.49,20.03,42.62,2186.66,1
61.22,65.78,18.2,66.92,27.82,1348.27,7.68,1834.17,2.43,13.61,171.86,8682.07,1
68.47,33.28,26.0,33.15,31.42,1254.87,7.18,1580.33,7.78,4.47,67.06,6491.72,1
84.0,49.33,17.98,63.74,35.29,685.42,7.4,990.33,11.82,11.35,102.76,2269.01,1
60.3,79.49,38.0,43.55,32.75,549.82,7.42,778.39,3.67,20.97,171.6,7671.47,1
53.46,34.39,43.99,34.78,35.82,481.29,9.09,614.28,13.13,10.37,72.95,3919.16,1
63.04,88.75,44.1,41.92,35.62,839.02,8.66,1203.45,1.27,19.27,178.51,5976.0,1
57.25,30.27,40.95,32.52,34.51,337.1,7.74,451.76,11.84,7.13,119.64,3578.57,1
91.84,47.28,33.02,83.13,39.29,859.13,7.04,1137.81,9.43,13.42,98.58,7000.54,1
86.37,81.86,36.03,47.8,39.09,201.6,8.69,270.59,5.07,18.88,145.99,6922.57,1
78.5,52.14,23.56,37.17,32.12,588.62,6.92,834.02,10.95,20.41,94.62,5640.33,1
89.22,37.13,33.92,51.39,41.87,463.92,7.07,641.09,11.84,11.72,95.57,3306.94,1
86.17,55.22,28.67,42.44,35.11,1365.46,7.49,1723.01,14.04,14.79,157.36,3402.78,1
58.4,48.93,29.46,72.11,28.43,1072.69,8.88,1546.31,5.83,2.06,89.57,4371.47,1
90.17,88.99,37.73,87.99,42.0,619.58,6.86,792.79,10.45,7.06,72.12,2587.59,1
74.27,51.93,23.46,50.66,33.73,311.41,6.83,435.7,9.24,7.57,169.22,4032.42,1
86.33,85.23,24.54,80.27,30.4,820.16,7.83,1129.55,8.12,3.87,168.86,6632.66,1
90.32,92.43,42.74,59.61,41.41,456.14,7.25,587.28,13.41,7.59,119.61,7731.34,1
64.31,60.37,16.69,31.01,23.29,843.72,8.04,1083.45,0.55,8.42,124.26,3994.37,1
54.95,93.7,29.57,68.34,27.19,1202.43,7.72,1712.35,4.59,21.38,151.37,3251.93,1
60.26,56.41,42.38,55.94,28.62,938.95,7.67,1252.5,8.31,15.37,121.48,7744.82,1
69.22,97.49,33.31,65.54,33.69,960.55,6.8,1326.43,3.09,10.52,106.73,8180.28,1
86.81,36.25,31.39,82.28,35.41,849.24,6.88,1147.16,13.66,21.76,199.18,4575.16,1
88.73,78.09,22.49,50.83,35.18,1312.72,8.72,1831.86,9.89,5.06,63.62,1701.78,1
50.31,64.57,25.3,83.08,23.18,1318.28,8.89,1774.21,7.43,11.52,134.84,6712.21,1
72.98,57.14,40.56,72.55,37.61,815.27,7.13,1065.94,12.31,14.94,181.74,7380.25,1
68.78,74.29,31.78,54.2,32.49,566.91,6.81,749.84,7.04,3.11,149.95,1635.18,1
59.99,79.27,30.44,62.23,33.66,751.5,6.64,1068.5,8.6,16.34,180.95,5962.73,1
55.39,30.31,17.99,42.79,27.97,423.87,8.14,569.51,0.54,4.0,93.81,5912.77,1
65.19,41.69,15.48,88.85,28.29,963.61,8.43,1245.65,5.8,4.81,83.52,4340.31,1
92.43,79.91,43.91,66.71,42.0,800.11,7.51,1149.7,2.51,5.19,176.2,7123.25,1
64.54,76.65,26.31,23.07,34.32,323.96,8.34,456.56,10.5,20.58,103.06,4711.34,1
73.35,97.62,33.1,42.86,31.81,437.18,8.42,551.34,7.45,15.66,153.55,6575.82,1
81.64,83.27,17.39,63.63,28.69,775.56,9.03,1124.4,4.88,15.11,63.64,5378.38,1
66.36,96.55,35.49,23.94,33.85,1265.11,6.68,1757.21,7.28,13.11,160.93,3363.48,1
93.73,79.18,42.98,21.67,42.0,879.67,7.02,1127.78,3.54,7.86,127.84,6048.76,1
93.31,50.86,32.27,51.5,39.22,1017.84,6.69,1320.58,13.91,14.42,82.98,7026.81,1
61.33,37.38,18.78,43.29,26.54,606.83,8.84,842.58,1.28,10.2,119.12,8804.29,1
72.38,84.73,32.45,50.68,31.57,885.69,8.64,1245.24,13.05,4.91,151.51,4350.82,1
63.54,75.09,37.99,38.39,36.07,736.86,8.05,956.3,7.91,15.79,41.9,1983.54,1
62.82,33.37,27.19,31.53,32.13,990.96,6.73,1289.62,9.47,4.59,141.99,8909.78,1
51.66,55.2,41.4,68.24,33.98,260.69,7.24,341.88,4.89,5.81,126.65,6178.55,1
77.43,96.98,34.46,56.02,35.16,791.96,7.3,1084.67,14.52,18.35,75.25,8598.38,1
72.62,65.03,41.98,34.01,36.43,555.19,8.01,713.07,4.59,15.2,160.48,2278.7,1
52.32,60.29,33.71,42.37,27.29,591.42,7.2,751.61,9.04,14.62,88.55,4065.25,1
62.54,62.04,18.94,61.43,27.43,1353.1,6.7,1875.09,14.9,10.36,84.3,2504.53,1
90.87,44.62,24.29,25.06,34.06,419.23,8.47,589.37,13.28,9.93,115.39,7766.33,1
60.78,55.81,21.05,30.32,25.21,573.49,7.31,774.32,8.28,15.81,148.18,8102.57,1
56.52,55.89,42.26,25.13,33.08,811.87,7.72,1073.92,14.86,16.8,188.62,5259.84,1
72.03,33.66,37.81,76.86,35.26,1235.63,6.84,1651.31,10.67,12.2,62.62,2899.55,1
94.35,83.73,35.29,72.67,39.86,700.0,8.67,929.38,3.53,21.39,103.43,2453.39,1
60.89,59.16,24.03,72.73,29.57,1092.64,8.03,1575.58,6.38,21.11,50.72,5911.23,1
80.25,87.55,20.52,70.14,32.4,1227.65,8.93,1723.15,5.35,10.25,161.37,5297.82,1
84.27,89.52,37.69,66.86,38.68,572.02,7.84,738.83,5.49,18.41,111.64,6710.92,1
60.69,44.84,29.22,53.39,30.77,671.3,9.04,890.71,11.53,12.87,153.11,3789.05,1
82.77,76.01,21.77,64.96,31.33,627.87,8.91,853.15,8.97,12.24,91.55,4517.76,1
66.55,63.06,33.5,22.69,33.57,1199.43,8.06,1646.33,1.05,3.1,175.09,1660.21,1
78.45,91.61,16.21,63.5,30.59,253.22,9.02,340.23,13.22,13.48,125.57,6076.07,1
78.51,45.1,24.79,74.45,30.3,570.11,7.37,805.0,4.8,20.01,190.98,4673.58,1
74.11,77.45,29.06,55.03,35.69,1015.29,7.49,1424.98,14.96,17.6,52.61,8398.23,1
54.06,72.54,19.44,45.03,23.56,878.53,6.62,1186.92,14.34,17.73,122.28,6313.4,1
87.59,50.67,44.54,39.42,42.0,723.55,8.09,1028.08,14.14,5.2,162.63,4490.21,1
64.44,39.56,21.27,65.0,30.88,847.94,8.45,1187.3,12.26,9.17,136.02,3476.92,1
58.39,75.61,18.91,68.5,28.07,437.1,8.59,614.44,3.7,6.66,43.71,8289.64,1
51.83,81.7,21.11,80.97,25.41,716.86,6.9,1033.2,8.22,8.32,195.57,1621.99,1
76.59,52.09,38.07,43.96,36.75,802.04,7.7,1045.3,3.75,13.59,87.72,3951.84,1
80.49,75.14,27.77,73.88,36.74,1281.43,6.98,1670.38,4.27,9.3,79.88,8576.29,1
50.75,57.66,31.96,59.29,30.22,513.0,8.29,732.46,9.36,13.21,117.71,6405.25,1
73.04,79.92,15.63,81.8,27.49,1241.39,6.93,1743.47,1.09,10.77,126.75,5495.39,1
60.19,43.95,16.03,56.95,24.07,973.09,8.94,1396.68,14.56,7.73,162.61,3026.51,1
79.03,92.32,28.37,56.23,30.54,224.41,7.12,283.34,13.82,3.91,102.92,7750.31,1
57.85,50.12,39.5,60.45,33.59,1069.56,7.29,1471.23,6.02,19.84,110.39,3031.49,1
81.09,55.75,41.56,72.45,39.65,242.66,8.8,310.35,7.97,2.23,125.59,3361.9,1
67.4,34.07,17.6,87.53,30.28,1396.86,7.74,1886.85,7.26,2.03,103.1,2938.88,1
92.15,37.81,31.15,25.15,39.66,1247.16,6.56,1597.8,13.29,18.54,186.33,2686.12,1
56.19,66.11,42.4,23.74,36.55,556.81,7.84,710.28,10.48,21.94,176.2,8649.84,1
65.35,48.73,26.64,85.63,29.27,508.89,6.73,637.36,4.53,16.54,112.8,6015.24,1
55.11,88.48,39.89,57.09,35.01,657.73,9.16,905.07,6.98,2.31,40.03,6283.78,1
91.61,31.03,19.01,63.04,33.5,627.4,8.09,829.3,6.72,6.53,184.15,8657.44,1
89.48,56.54,43.06,53.77,42.0,646.81,7.19,822.11,14.41,21.44,59.89,3229.31,1
61.61,53.61,37.54,26.56,30.62,581.93,8.02,764.99,3.04,18.17,79.12,1544.38,1
79.7,31.35,43.24,73.77,40.53,945.36,6.71,1213.64,1.8,13.34,64.38,5991.63,1
86.77,38.71,35.3,72.31,35.08,397.12,8.66,571.19,13.27,6.74,68.77,5308.84,1
74.98,58.95,25.9,41.82,32.28,1215.18,9.0,1596.74,13.5,2.29,168.46,5082.38,1
73.83,64.5,43.15,41.44,39.44,1174.88,8.86,1547.07,13.14,2.42,132.72,1964.1,1
60.88,58.3,23.27,78.65,27.32,771.78,7.42,1094.36,7.91,14.24,192.98,4908.26,1
54.19,67.17,24.97,25.07,25.18,1223.28,7.38,1687.57,10.07,2.44,77.03,3656.7,1
90.37,71.66,36.02,81.68,41.89,496.57,6.59,691.25,8.67,21.87,117.7,3559.24,1
90.52,30.69,37.96,37.97,40.71,221.08,8.26,304.47,1.51,5.67,196.39,3167.86,1
78.49,62.49,42.88,61.51,38.65,943.05,7.94,1357.27,9.14,16.21,172.23,3993.96,1
65.26,97.44,21.14,85.52,28.8,749.49,7.74,967.89,0.7,5.1,156.58,4148.5,1
65.71,66.33,38.94,67.47,40.33,880.6,8.95,1274.94,5.21,12.8,70.24,3815.82,1
82.67,77.43,37.16,49.01,40.98,1279.21,6.95,1811.6,14.02,3.61,163.1,8840.65,1
90.37,51.83,16.91,68.27,35.84,1363.91,6.53,1865.55,4.91,17.34,95.61,8495.48,1
89.92,84.18,26.62,44.08,37.67,961.34,6.7,1329.03,14.13,13.7,124.89,5808.83,1
85.09,84.1,23.48,39.41,34.83,1116.87,7.1,1541.01,4.13,3.72,137.47,8857.91,1
78.89,66.49,24.13,89.77,28.38,300.57,6.59,379.22,5.06,18.97,137.5,8933.99,1
53.79,98.32,44.49,72.56,32.66,392.86,7.86,508.2,9.61,12.94,156.24,4169.55,1
57.27,38.79,34.28,65.13,30.36,1079.85,7.35,1557.46,11.54,20.43,145.87,4838.91,1
90.43,31.19,36.53,44.87,36.64,717.64,6.99,973.74,7.77,20.33,50.94,8692.96,1
77.29,83.91,44.3,23.44,37.51,735.16,8.53,974.58,13.29,20.41,113.18,6064.7,1
50.41,86.5,26.32,22.17,22.85,570.33,7.05,799.83,1.08,3.56,146.24,3096.97,1
54.57,38.41,39.06,58.79,32.23,928.83,8.36,1258.47,13.87,4.42,87.36,6670.36,1
79.86,48.59,28.04,73.34,36.41,422.2,7.44,528.86,3.35,21.75,90.09,3043.1,1
50.23,31.23,41.09,57.62,34.15,952.3,7.88,1330.6,13.32,11.75,59.93,4045.18,1
57.24,50.53,20.42,78.85,27.29,408.56,9.02,570.53,6.31,6.76,106.98,3206.7,1
74.69,84.12,43.43,22.34,36.95,276.59,6.6,354.87,12.57,17.39,197.89,3337.35,1
81.14,66.26,21.56,45.67,28.97,596.43,7.85,859.65,10.24,7.29,85.65,1534.92,1
79.34,54.37,24.79,36.59,30.0,477.37,8.81,618.09,3.05,16.54,125.03,8105.32,1
60.09,56.02,37.69,51.31,30.68,1266.79,8.09,1699.46,13.81,18.75,158.92,3719.93,1
82.05,30.09,26.81,25.07,33.12,265.94,7.25,338.53,4.06,17.69,42.16,2147.81,1
60.68,50.99,33.25,86.79,31.49,411.94,7.57,564.62,4.04,7.48,184.07,2152.41,1
64.64,75.25,28.34,35.63,29.05,858.46,8.34,1137.54,12.31,10.03,101.85,5670.14,1
83.59,98.19,37.27,84.56,39.62,777.28,8.91,1026.5,2.04,10.27,179.06,8946.9,1
79.23,89.29,21.85,49.81,31.99,255.02,6.61,360.96,3.72,11.83,46.23,2587.67,1
88.22,31.65,16.75,88.99,32.94,208.7,6.69,261.28,7.8,5.35,63.31,2247.16,1
79.59,92.9,24.0,58.78,35.58,1385.68,7.38,1953.24,12.54,11.05,91.6,4787.28,1
75.57,84.82,29.23,85.16,31.76,990.6,7.13,1351.47,2.64,12.22,95.27,5724.98,1
54.22,84.63,20.04,20.37,26.41,638.49,7.22,924.03,8.44,12.63,175.65,3707.85,1
66.55,62.06,25.64,72.38,30.58,764.52,7.1,1045.78,10.81,18.4,41.79,3768.92,1
61.93,57.86,27.0,83.21,29.27,519.86,7.03,655.58,12.98,12.35,142.58,4683.57,1
60.98,51.2,16.72,29.78,27.87,613.85,6.85,773.53,14.07,6.62,61.01,3856.09,1
93.79,34.6,32.5,26.73,41.58,978.85,9.02,1396.46,11.88,15.26,171.71,8364.99,1
67.69,45.98,41.53,49.72,34.56,1259.37,6.89,1786.1,9.97,17.95,164.57,1814.66,1
90.14,47.26,19.55,85.36,34.01,420.96,7.05,555.32,6.79,8.39,119.99,3259.28,1
78.4,63.89,32.93,57.97,36.69,1208.43,7.16,1659.91,2.13,14.91,74.03,7564.15,1
85.77,82.32,34.94,56.92,38.13,345.87,9.02,466.2,10.79,4.94,141.52,7754.69,1
72.62,63.17,27.58,29.88,33.98,457.99,8.54,661.08,14.89,8.84,65.0,2336.66,1
75.96,34.05,36.03,20.06,37.16,244.61,8.63,352.24,11.18,20.18,70.4,8803.23,1
72.16,97.05,27.32,76.71,36.27,368.97,6.78,533.82,0.74,20.23,140.27,6700.16,1
58.79,95.99,30.14,26.13,27.18,1300.76,8.76,1851.36,7.7,13.51,198.6,3544.45,1
82.51,84.96,15.22,64.37,30.71,751.33,7.6,1075.83,9.41,16.05,182.57,4920.28,1
62.63,99.39,35.75,84.02,31.35,293.2,7.21,379.24,10.5,19.08,134.9,3728.54,1
51.09,68.11,34.84,34.61,31.18,1351.67,8.05,1914.24,10.94,21.17,126.17,2625.17,1
79.05,97.39,16.15,66.57,27.18,1254.79,8.72,1746.38,8.59,11.8,199.74,3683.84,1
57.97,35.29,26.05,25.51,29.3,1105.62,8.6,1594.92,3.74,13.23,127.58,5850.69,1
92.32,55.6,44.37,62.26,42.0,1320.17,8.9,1801.04,14.16,10.31,107.22,7694.77,1
92.93,45.78,27.62,31.48,36.43,464.16,9.01,588.1,10.6,3.44,185.53,4226.47,1
91.17,43.71,30.06,71.52,35.42,1203.64,7.14,1648.36,3.93,10.46,77.47,4109.26,1
66.66,39.86,42.3,41.09,35.54,1027.99,7.64,1426.15,5.17,17.81,55.6,5010.01,1
50.7,73.57,36.52,52.44,32.62,1243.71,6.54,1609.44,13.87,18.1,141.45,6334.17,1
91.77,84.69,32.46,61.96,39.25,1156.29,8.87,1536.51,13.37,19.85,55.34,7137.12,1
69.27,70.48,38.93,31.99,37.2,615.79,6.92,843.45,6.37,3.03,99.7,3951.0,1
93.5,40.29,40.93,71.91,42.0,1129.28,8.83,1496.09,1.06,12.54,107.77,5897.64,1
93.36,86.78,28.71,41.18,38.92,514.95,7.39,682.3,1.2,4.15,127.61,4420.21,1
88.39,74.52,29.25,66.37,36.22,594.31,7.49,758.71,4.62,6.01,198.67,6873.0,1
63.25,57.17,26.58,31.08,31.05,329.49,6.61,473.85,9.62,20.0,75.36,2735.06,1
67.33,77.19,44.0,68.17,36.14,1322.09,7.38,1851.06,8.97,11.94,100.12,3426.94,1
88.3,48.19,35.91,28.97,38.64,549.2,8.9,686.64,9.69,17.17,61.16,4695.45,1
64.26,54.16,17.5,49.77,24.15,824.75,6.57,1157.22,10.9,3.29,137.22,8170.61,1
57.63,94.22,40.89,37.3,35.57,669.6,7.6,936.07,0.78,10.34,156.43,5799.94,1
75.06,50.34,29.42,72.39,33.29,1351.91,6.58,1692.52,2.02,15.48,117.13,8740.47,1
92.13,62.9,17.06,38.34,34.37,602.06,7.5,797.08,5.71,4.67,79.33,2274.58,1
81.32,92.31,31.49,81.72,34.28,1134.25,6.97,1555.46,2.75,8.52,139.34,4951.32,1
75.65,79.54,27.51,82.43,34.42,1226.5,7.18,1644.18,1.59,3.29,126.27,4643.09,1
54.37,34.35,41.33,33.75,31.54,722.73,8.87,1015.86,9.79,15.03,67.39,6001.55,1
77.68,40.31,21.12,62.97,31.53,653.81,7.68,872.89,12.32,21.42,104.91,7589.73,1
94.55,30.55,39.79,26.14,42.0,1097.29,7.24,1405.39,11.41,18.54,109.63,7810.86,1
56.3,74.16,31.73,47.41,31.76,1295.48,8.09,1872.33,12.35,21.49,197.22,6526.46,1
73.32,61.34,16.64,69.93,29.11,1105.92,6.88,1435.93,10.15,18.91,175.89,6311.52,1
89.48,39.4,44.16,66.16,39.29,472.55,7.2,658.52,11.16,19.1,157.5,8617.72,1
83.33,97.06,30.38,63.73,42.0,1265.97,7.97,1618.71,4.44,13.54,182.2,4377.66,1
